,Novel Name,Novel Date,Novel Url,Writer Url,Num Submissions,Avg Submission,Min Submission,Min Day,Max Submission,Max Day,Standard Deviation
298,Incoming!,November 2015,http://nanowrimo.org/participants/laconic-lad/novels/incoming-847524,http://nanowrimo.org/participants/Laconic-Lad/novels,1,0.0,0,1,0,1,0.0
299,The Mortal Prince,November 2014,http://nanowrimo.org/participants/laconic-lad/novels/the-mortal-prince,http://nanowrimo.org/participants/Laconic-Lad/novels,4,1805.75,704,3,4034,1,1323.58573107
300,The Dream Walker,November 2015,http://nanowrimo.org/participants/lassen86/novels/the-dream-walker-882547,http://nanowrimo.org/participants/lassen86/novels,22,1545.45454545,299,20,4165,12,957.555777026
301,Jejune Fescue,November 2015,http://nanowrimo.org/participants/lenichi/novels/jejune-fescue,http://nanowrimo.org/participants/lenichi/novels,17,658.411764706,0,1,4039,2,1073.68612233
302,Whilst,November 2014,http://nanowrimo.org/participants/lenichi/novels/whilst,http://nanowrimo.org/participants/lenichi/novels,14,3580.92857143,564,21,15031,30,3717.01326844
303,The Wind Walkers,November 2015,http://nanowrimo.org/participants/letterpresslibrarian/novels/the-wind-walkers,http://nanowrimo.org/participants/LetterpressLibrarian/novels,30,2334.76666667,404,27,8338,1,1400.18659907
304,The University and the Woods,November 2014,http://nanowrimo.org/participants/letterpresslibrarian/novels/the-university-and-the-woods,http://nanowrimo.org/participants/LetterpressLibrarian/novels,29,2074.79310345,1026,23,3714,1,538.480069065
305,Baked thru,November 2015,http://nanowrimo.org/participants/lil-bone/novels/baked-thru,http://nanowrimo.org/participants/lil-bone/novels,3,1385.33333333,0,1,3357,11,1431.8292108
306,Machine Mountain,November 2013,http://nanowrimo.org/participants/lil-bone/novels/machine-mountain,http://nanowrimo.org/participants/lil-bone/novels,2,919.5,542,1,1297,3,377.5
307,Jean the Machine,November 2012,http://nanowrimo.org/participants/lil-bone/novels/jean-the-machine,http://nanowrimo.org/participants/lil-bone/novels,26,2775.65384615,756,19,6249,23,1419.67590945
308,Sun Chasers,November 2011,http://nanowrimo.org/participants/lil-bone/novels/sun-chasers,http://nanowrimo.org/participants/lil-bone/novels,27,1860.92592593,203,5,6640,30,1675.89056316
309,Mario and Jewels,November 2010,http://nanowrimo.org/participants/lil-bone/novels/mario-and-jewels,http://nanowrimo.org/participants/lil-bone/novels,1,0.0,0,1,0,1,0.0
310,To Be Determined,November 2015,http://nanowrimo.org/participants/lokelani86/novels/to-be-determined-831523,http://nanowrimo.org/participants/lokelani86/novels,16,3133.9375,93,3,7731,21,2056.2892084
311,I Tried to Ford the River and My Stupid Oxen Died,November 2014,http://nanowrimo.org/participants/lokelani86/novels/i-tried-to-ford-the-river-and-my-stupid-oxen-died,http://nanowrimo.org/participants/lokelani86/novels,13,4868.53846154,1261,7,11940,15,3697.41538865
312,Princess of the Peacocks,November 2013,http://nanowrimo.org/participants/lokelani86/novels/princess-of-the-peacocks,http://nanowrimo.org/participants/lokelani86/novels,18,2956.88888889,282,11,9014,16,2470.93005182
313,Tropical Treats,November 2012,http://nanowrimo.org/participants/lokelani86/novels/tropical-treats,http://nanowrimo.org/participants/lokelani86/novels,18,2824.83333333,-780,25,10453,17,2801.55356206
314,Flowers,November 2011,http://nanowrimo.org/participants/lokelani86/novels/flowers,http://nanowrimo.org/participants/lokelani86/novels,20,2502.5,41,26,6607,5,1914.60939881
315,30 Cases,November 2015,http://nanowrimo.org/participants/mancha/novels/30-cases,http://nanowrimo.org/participants/Mancha/novels,30,778.0,29,11,3772,15,1047.83265203
316,Counter Crisis,November 2014,http://nanowrimo.org/participants/mancha/novels/counter-crisis-578621,http://nanowrimo.org/participants/Mancha/novels,18,1104.77777778,187,5,2607,20,822.952108473
317,Counter Crisis,November 2013,http://nanowrimo.org/participants/mancha/novels/counter-crisis,http://nanowrimo.org/participants/Mancha/novels,29,1725.17241379,116,13,5033,10,1114.03884873
318,"Life's Dream, Book 1",November 2012,http://nanowrimo.org/participants/mancha/novels/life-s-dream-book-1,http://nanowrimo.org/participants/Mancha/novels,13,1618.23076923,23,12,4076,1,1287.67668863
319,The Acid Test,November 2015,http://nanowrimo.org/participants/mkent1/novels/the-acid-test,http://nanowrimo.org/participants/MKent1/novels,29,4144.17241379,2031,20,6885,30,1227.69745428
