"Fact Sheet","index","url"
"Location: Portland, OR Hobbies: plotting diabolical plot twists, drinking wine/coffee/beer/cocktails, cycling, hiking, traveling, photography Favorite noveling music: Jazz. Occasionally Kermit Ruffins, Florence and the Machine, and that song by Elle King I can't stop humming Website: http://www.theolenihan.com Sponsorship URL: https://www.classy.org/fundraise?fcid=541966 Occupation: exec dir of a mobile app startup Favorite books or authors: Martin Amis (London Fields), Patrick Rothfuss, Neal Stephenson (Baroque Cycle), Judy Blume, and because it's Halloween -- Mark Z. Danielewski's The House of Falling Leaves (WARNING Do not read this book if you are currently doing work on your house and/or live someplace with long hallways.)","3487","http://nanowrimo.org/participants/SquirrelScribe"
"Fact Sheet","3488","http://nanowrimo.org/participants/UltraCelestial"
"Age: 16 Location: In my dreams Hobbies: Photography, playing piano, writing Favorite noveling music: Anything Website:","3489","http://nanowrimo.org/participants/UltraCelestial"
"Fact Sheet","3490","http://nanowrimo.org/participants/unagicat"
"Location: San Francisco Favorite noveling music: Beethoven delivered via Rhaposdy, enigmatically ... Website: https://medium.com/nanowrimo/ Occupation: IT Mage","3491","http://nanowrimo.org/participants/unagicat"
"Fact Sheet","3492","http://nanowrimo.org/participants/Uriel238"
"Location: Haight Ashbury / Hayes Valley Hobbies: card and board games (playing and design), popular science, PC gaming, political issues Favorite noveling music: For novel writing, silence. I may try some Haydn. I usually listen to (and complain about) the local cafe's output. Website: Favorite books or authors: Most recently I've been working through the Harry Potter series. Currently on Half-Blood Prince.","3493","http://nanowrimo.org/participants/Uriel238"
"Fact Sheet","3494","http://nanowrimo.org/participants/ValkyrieKS"
"Location: San Francisco, CA. But mostly Neverland. Hobbies: Dancing, making foods at home that most people just buy at the grocery story, heights and height-related activities, assorted mockery, cheese Favorite noveling music: Instrumental is least distracting, but mellow & mopey can work as well. A deep personal conversation occurring nearby can be very inspirational; ditzy preferred. Website: Occupation: Persuasion and Comfort Favorite books or authors: Lately, ""A Primate's Memoir"" by Robert Sapolsky, ""Book of Lost Things"" by David Connolly, ""Things That Are"" by Amy Leach, ""The Magicians"" Trilogy by Lev Grossman. I also frequently seek the company of Margaret Atwood, Mary Roach, Bill Bryson, Neil Gaiman, Lewis Carroll, Barbara Kingsolver and Oliver Sacks. Please give me something new to read. By which I mean, don't recommend a book. Just hand it to me.","3495","http://nanowrimo.org/participants/ValkyrieKS"
"Fact Sheet","3496","http://nanowrimo.org/participants/Vehka"
