"LifetimeWordCount","Writer Name","Member Length","index","url"
"260,839","jodimt","Member for about 4 years","73","http://nanowrimo.org/participants/jodimt"
"2,008","jonbritton","Member for about 2 years","74","http://nanowrimo.org/participants/jonbritton"
"3,080","J_Hill","Member for over 4 years","75","http://nanowrimo.org/participants/J_Hill"
"761","laceywilson","Member for 2 months","76","http://nanowrimo.org/participants/laceywilson"
"7,223","Laconic Lad","Member for about 1 year","77","http://nanowrimo.org/participants/Laconic-Lad"
"34,000","lassen86","Member for 2 months","78","http://nanowrimo.org/participants/lassen86"
"61,326","lenichi","Member for about 1 year","79","http://nanowrimo.org/participants/lenichi"
"130,212","LetterpressLibrarian","Member for about 1 year","80","http://nanowrimo.org/participants/LetterpressLibrarian"
"178,407","lil bone","Member for about 5 years","81","http://nanowrimo.org/participants/lil-bone"
"267,555","lokelani86","Member for almost 6 years","82","http://nanowrimo.org/participants/lokelani86"
"114,293","Mancha","Member for about 3 years","83","http://nanowrimo.org/participants/Mancha"
"120,181","MKent1","Member for 3 months","84","http://nanowrimo.org/participants/MKent1"
"14,528","MusicalMe","Member for over 7 years","85","http://nanowrimo.org/participants/MusicalMe"
"451,760","mwalker","Member for about 10 years","86","http://nanowrimo.org/participants/mwalker"
"71,965","naseem.sage","Member for about 1 year","87","http://nanowrimo.org/participants/naseem-sage"
"0","NLettis","Member for 3 months","88","http://nanowrimo.org/participants/NLettis"
"371,448","Nytshaed","Member for about 6 years","89","http://nanowrimo.org/participants/Nytshaed"
"255,810","poise","Member for about 4 years","90","http://nanowrimo.org/participants/poise"
"107,800","QuinnWhittaker","Member for about 3 years","91","http://nanowrimo.org/participants/QuinnWhittaker"
"74,758","RagingFem","Member for about 2 years","92","http://nanowrimo.org/participants/RagingFem"
"12,972","revdolphin","Member for about 1 month","93","http://nanowrimo.org/participants/revdolphin"
"130,045","Robertjm","Member for over 5 years","94","http://nanowrimo.org/participants/Robertjm"
"106,934","Sophia Salazar","Member for over 2 years","95","http://nanowrimo.org/participants/Sophia-Salazar"
"169,378","Space-Jack","Member for over 4 years","96","http://nanowrimo.org/participants/Space-Jack"
"1,758,715","sushimustwrite","Member for about 13 years","97","http://nanowrimo.org/participants/sushimustwrite"
"290,383","The-Big-Bad-Firewing","Member for about 7 years","98","http://nanowrimo.org/participants/The-Big-Bad-Firewing"
"50,070","wildflowerlens","Member for about 1 month","99","http://nanowrimo.org/participants/wildflowerlens"
"10,393","wittycassiehere","Member for 3 months","100","http://nanowrimo.org/participants/wittycassiehere"
"44,970","wordweaver","Member for about 13 years","101","http://nanowrimo.org/participants/wordweaver"
"76,597","WSpinale","Member for about 1 year","102","http://nanowrimo.org/participants/WSpinale"
"379","Alexandris","Member for about 5 years","103","http://nanowrimo.org/participants/Alexandris"
"1,579","ambrella","Member for about 5 years","104","http://nanowrimo.org/participants/ambrella"
"3,653","DinosaurDooDoo","Member for almost 5 years","105","http://nanowrimo.org/participants/DinosaurDooDoo"
"4,861","gakernes","Member for 2 months","106","http://nanowrimo.org/participants/gakernes"
"167,538","irlangel","Member for 5 months","107","http://nanowrimo.org/participants/irlangel"
"30,049","jenniferkate","Member for about 13 years","108","http://nanowrimo.org/participants/jenniferkate"
"51,213","Jessbear84","Member for 2 months","109","http://nanowrimo.org/participants/Jessbear84"
"15,042","JWhiteFang","Member for about 1 year","110","http://nanowrimo.org/participants/JWhiteFang"
"1,322","KDSUNFLOWERS","Member for over 1 year","111","http://nanowrimo.org/participants/KDSUNFLOWERS"
"50,267","kicksandgiggles","Member for 3 months","112","http://nanowrimo.org/participants/kicksandgiggles"
"50,415","krkausen","Member for 2 months","113","http://nanowrimo.org/participants/krkausen"
"141,812","lynxzpanther","Member for over 3 years","114","http://nanowrimo.org/participants/lynxzpanther"
"67,664","melissacroce","Member for over 2 years","115","http://nanowrimo.org/participants/melissacroce"
"1,614","MsHannaBSmith","Member for about 1 month","116","http://nanowrimo.org/participants/MsHannaBSmith"
"3,503","New Apollo","Member for 2 months","117","http://nanowrimo.org/participants/New-Apollo"
"284,717","pbtoejam05","Member for over 6 years","118","http://nanowrimo.org/participants/pbtoejam05"
"9,561","sniccolls","Member for 2 months","119","http://nanowrimo.org/participants/sniccolls"
"3,095","StardustStorm","Member for 4 months","120","http://nanowrimo.org/participants/StardustStorm"
"74,705","Torturedwriting","Member for 2 months","121","http://nanowrimo.org/participants/Torturedwriting"
"50,736","@Erin_Havel","Member for over 1 year","122","http://nanowrimo.org/participants/erin_havel"
"50,230","allireapandsow","Member for 2 months","123","http://nanowrimo.org/participants/allireapandsow"
"38,000","amberkell","Member for over 4 years","124","http://nanowrimo.org/participants/amberkell"
"0","Ashley Daniele","Member for almost 2 years","125","http://nanowrimo.org/participants/Ashley-Daniele"
"194,209","astridsdream","Member for about 5 years","126","http://nanowrimo.org/participants/astridsdream"
"7,831","authorperson","Member for about 1 year","127","http://nanowrimo.org/participants/authorperson"
"64,411","Blushingwriter","Member for about 2 years","128","http://nanowrimo.org/participants/Blushingwriter"
"246,231","Boupie","Member for about 7 years","129","http://nanowrimo.org/participants/Boupie"
"144,957","CairennRhys","Member for almost 3 years","130","http://nanowrimo.org/participants/CairennRhys"
"1,667","Caisidorhpa","Member for about 11 years","131","http://nanowrimo.org/participants/Caisidorhpa"
"304,935","CAPav","Member for about 5 years","132","http://nanowrimo.org/participants/CAPav"
"216,930","Darkotter's Kosher Bacon","Member for about 4 years","133","http://nanowrimo.org/participants/darkotter-s-kosher-bacon"
"90,704","dlindle","Member for about 3 years","134","http://nanowrimo.org/participants/dlindle"
"316,731","ElizaWyatt","Member for about 8 years","135","http://nanowrimo.org/participants/ElizaWyatt"
"170,442","Frozen_in_Tyme","Member for about 5 years","136","http://nanowrimo.org/participants/Frozen_in_Tyme"
"560,420","fyca","Member for about 10 years","137","http://nanowrimo.org/participants/fyca"
"32,849","JaxFost","Member for 3 months","138","http://nanowrimo.org/participants/JaxFost"
"23,454","jelliott93","Member for about 7 years","139","http://nanowrimo.org/participants/jelliott93"
"83,344","Jonah ER Loeb","Member for 2 months","140","http://nanowrimo.org/participants/Jonah-ER-Loeb"
"28,845","Judydawn","Member for over 3 years","141","http://nanowrimo.org/participants/Judydawn"
"654","juliawester","Member for 2 months","142","http://nanowrimo.org/participants/juliawester"
"12,472","kalekim","Member for about 6 years","143","http://nanowrimo.org/participants/kalekim"
"0","KinoFou","Member for about 3 years","144","http://nanowrimo.org/participants/KinoFou"
"71,562","kittypan","Member for over 2 years","145","http://nanowrimo.org/participants/kittypan"
"107,566","KlaraKim","Member for over 1 year","146","http://nanowrimo.org/participants/KlaraKim"
"187,416","KnottedCord21","Member for about 5 years","147","http://nanowrimo.org/participants/KnottedCord21"
"7,339","LadyJustice","Member for 3 months","148","http://nanowrimo.org/participants/LadyJustice"
"57,702","lunespark","Member for about 1 year","149","http://nanowrimo.org/participants/lunespark"
"33,026","MDBrannan","Member for 3 months","150","http://nanowrimo.org/participants/MDBrannan"
"59,700","Miss Apple","Member for about 5 years","151","http://nanowrimo.org/participants/Miss-Apple"
"5,000","morvegan","Member for 2 months","152","http://nanowrimo.org/participants/morvegan"
"1,926","MrLasers","Member for over 4 years","153","http://nanowrimo.org/participants/MrLasers"
"25,000","NW_Rose","Member for 3 months","154","http://nanowrimo.org/participants/NW_Rose"
"157,583","otakubookworm123","Member for about 2 years","155","http://nanowrimo.org/participants/otakubookworm123"
"370,035","Tamsin_Silver","Member for about 5 years","156","http://nanowrimo.org/participants/Tamsin_Silver"
"147,652","starleaf","Member for about 7 years","157","http://nanowrimo.org/participants/starleaf"
"144,970","spinflight","Member for about 9 years","158","http://nanowrimo.org/participants/spinflight"
"503,398","sandersen","Member for about 8 years","159","http://nanowrimo.org/participants/sandersen"
"458,284","russodd","Member for about 8 years","160","http://nanowrimo.org/participants/russodd"
"53,524","Priscale","Member for about 3 years","161","http://nanowrimo.org/participants/Priscale"
"111,272","plague","Member for over 2 years","162","http://nanowrimo.org/participants/plague"
"189,791","Mare9548","Member for about 4 years","163","http://nanowrimo.org/participants/Mare9548"
"7,325","lilychick","Member for about 11 years","164","http://nanowrimo.org/participants/lilychick"
"303,702","Lara F","Member for about 7 years","165","http://nanowrimo.org/participants/Lara-F"
"660,708","LadyMage","Member for about 9 years","166","http://nanowrimo.org/participants/LadyMage"
"217,253","kapppz","Member for about 5 years","167","http://nanowrimo.org/participants/kapppz"
"218,097","jrkennedy","Member for about 5 years","168","http://nanowrimo.org/participants/jrkennedy"
"106,730","hershele_ostropoler","Member for about 6 years","169","http://nanowrimo.org/participants/hershele_ostropoler"
"52,926","Gia Shakur","Member for about 3 years","170","http://nanowrimo.org/participants/Gia-Shakur"
"74,610","florenceandcalamity","Member for about 5 years","171","http://nanowrimo.org/participants/florenceandcalamity"
"489,392","embereye","Member for about 11 years","172","http://nanowrimo.org/participants/embereye"
"507,811","Darkscribe","Member for about 11 years","173","http://nanowrimo.org/participants/Darkscribe"
"61,655","ClaudyKeira","Member for about 5 years","174","http://nanowrimo.org/participants/ClaudyKeira"
"1,108","cinnamon.quill","Member for almost 7 years","175","http://nanowrimo.org/participants/cinnamon-quill"
"112,646","AxmxZ","Member for about 9 years","176","http://nanowrimo.org/participants/AxmxZ"
